Source,Target
Batch.usp_StartProcess,Batch.usp_GetProgress
Billing.usp_AddNewAgency,Billing.usp_AddAgencyFundingGroup
Common.usp_CONED_HandleExchangeDataIssues,Common.CopyConEdExchangeDataToCommon
Common.usp_ProcessExchangeData,Common.usp_ProcessExchange_CodeMISC
Common.usp_ProcessExchangeData,Common.usp_ProcessExchange_Code45
Common.usp_ProcessExchangeData,Common.usp_ProcessExchange_Code27
Common.usp_ProcessExchangeData,Common.usp_ProcessExchange_Code28
Common.usp_ProcessExchangeData,Common.usp_ProcessExchange_Code46
Common.usp_ProcessExchangeData,Common.usp_ProcessExchange_CodeAX
Common.usp_ProcessExchangeData,Common.usp_ProcessExchange_Code47
ConEd.Archive_usp_ProcessConEdTransformMeterBillingData,ConEd.Archive_usp_ParseSpannedBilledUploadConEdisonMeterInfo
ConEd.Archive_usp_ProcessConEdTransformMeterBillingData,ConEd.Archive_usp_ParseSplitBillingAndMeterResetsUploadConEdisonMeterInfo
ConEd.usp_Upload_18_ProcessExchange,ConEd.usp_Upload_18_Helper_ProcessCommonElectronicGasUnknownExchangeCode
ConEd.usp_Upload_19_UploadDataToEC3,ConEd.usp_Upload_19_helper_UploadMeterDataToEC3
ConEd.usp_Upload_19_UploadDataToEC3,ConEd.usp_Upload_19_helper_UploadAccountDataToEC3
ConEd.usp_Upload_19_UploadDataToEC3,ConEd.usp_Upload_19_helper_FixServiceClassificationDiscrepancy
ConEd.usp_Upload_2_TransformRawData,Common.usp_ProcessExchangeData
ConEd.usp_Upload_2_TransformRawData,Common.CopyConEdExchangeDataToCommon
ConEd.usp_Upload_2_TransformRawData,Common.CopyConEdExchangeDataUploadToCommon
ConEd.usp_Upload_2_TransformRawData,Common.usp_CONED_HandleExchangeDataIssues
CrisNationalGridWest.usp_CRIS_SpanParseAndMergeCancellationAccountBillingAdjustmentRecords,CrisNationalGridWest.usp_CRIS_PreProcessParsingSpannedAccountInfoCancellation
CrisNationalGridWest.usp_CRIS_ValidateAccountTransactions,CrisNationalGridWest.usp_CRIS_CorrectPartialCancelattionFromPriorPeriodMergedBill
CrisNationalGridWest.usp_ProcessExchangeInfo,CrisNationalGridWest.usp_ProcessExchangeCode_28
CrisNationalGridWest.usp_ProcessExchangeInfo,CrisNationalGridWest.usp_ProcessExchangeCode_MISC
CrisNationalGridWest.usp_ProcessExchangeInfo,CrisNationalGridWest.usp_ProcessExchangeCode_27
dbo.aspnet_Membership_CreateUser,dbo.aspnet_Applications_CreateApplication
dbo.aspnet_PersonalizationAdministration_DeleteAllState,dbo.aspnet_Personalization_GetApplicationId
dbo.aspnet_PersonalizationAdministration_FindState,dbo.aspnet_Personalization_GetApplicationId
