Source,Target
fms.USP_ReconcileInvoicePaymentsUsingFMSDisbursements,dbo.USP_AppLogCreate
fms.USP_ReconcileInvoicePaymentsUsingITSPayments,dbo.USP_AppLogCreate
Invoice.USP_AccountBillingAvailableByInvoiceBillingGroupRetrieve,dbo.USP_AppLogCreate
Invoice.USP_BillingGroupAvailableByInvoiceRetrieve,dbo.USP_AppLogCreate
Invoice.USP_BillingGroupContractSave,dbo.USP_AppLogCreate
Invoice.USP_ContractAvailableByInvoiceBillingGroupRetrieve,dbo.USP_AppLogCreate
Invoice.USP_ContractLineAvailableByInvoiceRetrieve,dbo.USP_AppLogCreate
Invoice.USP_FiscalYearAvailableByInvoiceBillingGroupRetrieve,dbo.USP_AppLogCreate
Invoice.USP_InvoiceAccountBillingAdd,dbo.USP_AppLogCreate
Invoice.USP_InvoiceAccountBillingDelete,dbo.USP_AppLogCreate
Invoice.USP_InvoiceAccountBillingRetrieve,dbo.USP_AppLogCreate
Invoice.USP_InvoiceContractLineAdd,dbo.USP_AppLogCreate
Invoice.USP_InvoiceContractLineAllocationRetrieve,dbo.USP_AppLogCreate
Invoice.USP_InvoiceContractLineDelete,dbo.USP_AppLogCreate
Invoice.USP_InvoiceContractLineRetrieve,dbo.USP_AppLogCreate
Invoice.USP_InvoiceContractLineUpdate,dbo.USP_AppLogCreate
Invoice.USP_InvoiceCreate,dbo.USP_AppLogCreate
Invoice.USP_InvoiceDelete,dbo.USP_AppLogCreate
Invoice.USP_InvoiceEmailAddressRetrieve,dbo.USP_AppLogCreate
Invoice.USP_InvoiceEmailLogAdd,dbo.USP_AppLogCreate
Invoice.USP_InvoiceEmailLogRetrieve,dbo.USP_AppLogCreate
Invoice.USP_InvoiceEmailUnsentInvoiceRetrieve,dbo.USP_AppLogCreate
Invoice.USP_InvoiceGroupContractAdd,dbo.USP_AppLogCreate
Invoice.USP_InvoiceGroupContractDelete,dbo.USP_AppLogCreate
Invoice.USP_InvoiceGroupContractRetrieve,dbo.USP_AppLogCreate
Invoice.USP_InvoiceRetrieve,dbo.USP_AppLogCreate
Invoice.USP_InvoiceUpdate,dbo.USP_AppLogCreate
Invoice.USP_InvoiceWorkQueueRetrieve,dbo.USP_AppLogCreate
Report.USP_InvoiceAccountBillingRetrieve,dbo.USP_AppLogCreate
Report.USP_InvoiceAccountBillingRetrieve_AandA,dbo.USP_AppLogCreate
Report.USP_InvoiceAccountBillingRetrieve_EFT,dbo.USP_AppLogCreate
Report.USP_InvoiceAccountBillingRetrieve_EFT_Excel,dbo.USP_AppLogCreate
Report.USP_InvoiceAccountBillingRetrieve_Review,dbo.USP_AppLogCreate
Report.USP_InvoiceContractLineAllocationRetrieve,dbo.USP_AppLogCreate
Report.USP_InvoiceContractLineAllocationRetrieve_AandA,dbo.USP_AppLogCreate
Report.USP_InvoiceContractLineRetrieve,dbo.USP_AppLogCreate
Report.USP_InvoiceContractLineRetrieve_AandA,dbo.USP_AppLogCreate
Report.USP_InvoiceGroupContractRetrieve,dbo.USP_AppLogCreate
Report.USP_InvoiceGroupContractRetrieve_AandA,dbo.USP_AppLogCreate
Report.USP_InvoiceHeaderRetrieve,dbo.USP_AppLogCreate
Report.USP_InvoicePaymentRetrieve,dbo.USP_AppLogCreate
Report.USP_InvoicePaymentRetrieve_EFT,dbo.USP_AppLogCreate
Report.USP_InvoicePaymentRetrieve_EFT_Excel,dbo.USP_AppLogCreate
