file,object,num_changes
functions_analysis_all_schemas.json,AddCentury,2
functions_analysis_all_schemas.json,AddDollars,3
functions_analysis_all_schemas.json,AddLegacyExchangeCentury,2
functions_analysis_all_schemas.json,CalcActualRate,4
functions_analysis_all_schemas.json,CalcBillingPeriodYearPrior,7
functions_analysis_all_schemas.json,CalcBudgetCombinedSurplus,5
functions_analysis_all_schemas.json,CalcBudgetRate,4
functions_analysis_all_schemas.json,CalcBudgetRateSurplus,5
functions_analysis_all_schemas.json,CalcBudgetUsageSurplus,3
functions_analysis_all_schemas.json,CalcDemandCommodityDollars,6
functions_analysis_all_schemas.json,CalcDemandDeliveryDollars,7
functions_analysis_all_schemas.json,CalcEnergyDeliveryDollars,6
functions_analysis_all_schemas.json,CalcEstOrACT,3
functions_analysis_all_schemas.json,CalcEstimatedReadings,3
functions_analysis_all_schemas.json,CalculateAppliedPriorCredit,6
functions_analysis_all_schemas.json,CalculateApplyMonthlyPercentageElectricSpannedBilled,4
functions_analysis_all_schemas.json,CalculateApplyMonthlyPercentageGasSpannedBilled,6
functions_analysis_all_schemas.json,CalculateApplyMonthlyPercentageXXXSpannedBilled,5
functions_analysis_all_schemas.json,CalculateCCF,4
functions_analysis_all_schemas.json,CalculateCCF1,5
functions_analysis_all_schemas.json,CalculateChargeToPriorFiscalYear,6
functions_analysis_all_schemas.json,CalculateConsecutiveNumberOfEstimatedReadings,11
functions_analysis_all_schemas.json,CalculateCreditRemainder,4
functions_analysis_all_schemas.json,CalculateCrisMeterConstant,6
functions_analysis_all_schemas.json,CalculateCurrentPeriod,6
functions_analysis_all_schemas.json,CalculateCurrentPeriodMod24,5
functions_analysis_all_schemas.json,CalculateCurrentPeriodMod36,4
functions_analysis_all_schemas.json,CalculateDeltaBillingPeriods,3
functions_analysis_all_schemas.json,CalculateDeltaBillingPeriodsDHO,3
functions_analysis_all_schemas.json,CalculateEnergySourceInBTUs,6
functions_analysis_all_schemas.json,CalculateEnergySourceInC02Equivalent,5
functions_analysis_all_schemas.json,CalculateEstimatedOrActual,7
functions_analysis_all_schemas.json,CalculateEstimatedReadingsfromMeterBilling,4
functions_analysis_all_schemas.json,CalculateFiscalYear,4
functions_analysis_all_schemas.json,CalculateFiscalYearIfSplit,5
functions_analysis_all_schemas.json,CalculateGasThermFactor,4
functions_analysis_all_schemas.json,CalculateLegacyNextOrPreviousBillingPeriod,3
functions_analysis_all_schemas.json,CalculateLoadFactor,6
functions_analysis_all_schemas.json,CalculateLoadFactorElectric,5
functions_analysis_all_schemas.json,CalculateNetPaidAdjustment,5
functions_analysis_all_schemas.json,CalculateNextBillingPeriod,5
functions_analysis_all_schemas.json,CalculateNextPeriod,5
functions_analysis_all_schemas.json,CalculateNextPeriodMod36,4
functions_analysis_all_schemas.json,CalculateNumberOfBillingDays,3
functions_analysis_all_schemas.json,CalculateNumberOfBillingPeriods,3
functions_analysis_all_schemas.json,CalculateOECInvoiceNumber,4
functions_analysis_all_schemas.json,CalculatePreviousBillingPeriod,5
functions_analysis_all_schemas.json,CalculatePreviousFiscalYear,7
functions_analysis_all_schemas.json,CalculateProductionAndDeliveryTariff,5
functions_analysis_all_schemas.json,CalculateProjectFinalPaymentPeriod,4
functions_analysis_all_schemas.json,CalculateProjectedFromToDates,5
functions_analysis_all_schemas.json,CalculateReadingDate,2
functions_analysis_all_schemas.json,CalculateRelativeDatePlusDays,2
functions_analysis_all_schemas.json,CalculateServiceTariff,9
