root,depth,terminal,cycle,unresolved,path
actualbill.usp_archiveconedisonrawdatafile,0,leaf,0,0,"actualbill.usp_archiveconedisonrawdatafile"
audit.usp_addreportusagelog,0,leaf,0,0,"audit.usp_addreportusagelog"
batch.ssis_usp_truncatetables,0,leaf,0,0,"batch.ssis_usp_truncatetables"
batch.usp_efilecoversheet,1,leaf,0,0,"batch.usp_efilecoversheet > nypa.usp_preprocessingmatchcoverlettertoefilecoversheet"
batch.usp_getprogress,0,leaf,0,0,"batch.usp_getprogress"
batch.usp_preloadrawandtransformeddatastatisticsreport,0,leaf,0,0,"batch.usp_preloadrawandtransformeddatastatisticsreport"
batch.usp_process_main_changeprioractivestatus,0,leaf,0,0,"batch.usp_process_main_changeprioractivestatus"
batch.usp_process_main_checknobackbills,1,unresolved,0,1,"batch.usp_process_main_checknobackbills > dbo.finalcheckofbackbillingattheaccountlevel"
batch.usp_process_main_exchangeinfo,1,leaf,0,0,"batch.usp_process_main_exchangeinfo > billing.usp_turnonaccountandrelatedmeters"
batch.usp_process_main_exchangeinfo,1,leaf,0,0,"batch.usp_process_main_exchangeinfo > common.usp_processexchange_code45"
batch.usp_process_main_exchangeinfo,1,unresolved,0,1,"batch.usp_process_main_exchangeinfo > dbo.below"
batch.usp_process_main_exchangeinfo2,0,leaf,0,0,"batch.usp_process_main_exchangeinfo2"
batch.usp_process_main_loadaccoutingbills,0,leaf,0,0,"batch.usp_process_main_loadaccoutingbills"
batch.usp_process_main_loadmeterbills,0,leaf,0,0,"batch.usp_process_main_loadmeterbills"
batch.usp_process_main_loadmeterbills2,1,leaf,0,0,"batch.usp_process_main_loadmeterbills2 > billing.usp_insertnetmeteringattributefromefile"
batch.usp_process_main_utilitycycle,0,leaf,0,0,"batch.usp_process_main_utilitycycle"
batch.usp_process_matchcoverletter,1,leaf,0,0,"batch.usp_process_matchcoverletter > nypa.usp_preprocessingaddmiscellaneouschargestoefilecoversheet"
batch.usp_process_matchcoverletter,1,leaf,0,0,"batch.usp_process_matchcoverletter > nypa.usp_preprocessingmatchcoverlettertoefilecoversheet"
batch.usp_process_nypa_addreativepowerdata_page3,0,leaf,0,0,"batch.usp_process_nypa_addreativepowerdata_page3"
batch.usp_process_nyparawdata,1,leaf,0,0,"batch.usp_process_nyparawdata > common.copynypaexchangedatatocommon"
batch.usp_processdata,0,leaf,0,0,"batch.usp_processdata"
batch.usp_startprocess,1,leaf,0,0,"batch.usp_startprocess > batch.usp_getprogress"
batch.usp_transformdata,1,leaf,0,0,"batch.usp_transformdata > common.copynypaexchangedatatocommon"
batch.usp_valid2startprocess,0,leaf,0,0,"batch.usp_valid2startprocess"
billing.usp_accountbilling_retrieve,0,leaf,0,0,"billing.usp_accountbilling_retrieve"
billing.usp_accountbilling_updateaccountinfo,0,leaf,0,0,"billing.usp_accountbilling_updateaccountinfo"
billing.usp_accountbillingadjconedstm_updateprocessed,0,leaf,0,0,"billing.usp_accountbillingadjconedstm_updateprocessed"
billing.usp_accountbillingconedsteam_retrieve,0,leaf,0,0,"billing.usp_accountbillingconedsteam_retrieve"
billing.usp_accountbillingconedsteam_updateaccountinfo,0,leaf,0,0,"billing.usp_accountbillingconedsteam_updateaccountinfo"
billing.usp_accountnumberhistorybyuniqueaccountseqid,0,leaf,0,0,"billing.usp_accountnumberhistorybyuniqueaccountseqid"
billing.usp_accountsbyattributeexport,0,leaf,0,0,"billing.usp_accountsbyattributeexport"
billing.usp_addagencyfundinggroup,0,leaf,0,0,"billing.usp_addagencyfundinggroup"
billing.usp_addnewagency,1,leaf,0,0,"billing.usp_addnewagency > billing.usp_addagencyfundinggroup"
billing.usp_agencieshasfacilities,0,leaf,0,0,"billing.usp_agencieshasfacilities"
billing.usp_agency_search,0,leaf,0,0,"billing.usp_agency_search"
billing.usp_agencydivision_getagencydivisioninxml,0,leaf,0,0,"billing.usp_agencydivision_getagencydivisioninxml"
billing.usp_bwt_billing_request,0,leaf,0,0,"billing.usp_bwt_billing_request"
billing.usp_consumptionbypropertyorfacility,0,leaf,0,0,"billing.usp_consumptionbypropertyorfacility"
billing.usp_deleteandreseedseqidaccountbilling,0,leaf,0,0,"billing.usp_deleteandreseedseqidaccountbilling"
billing.usp_facilitiesbyagency,0,leaf,0,0,"billing.usp_facilitiesbyagency"
billing.usp_facility_search,0,leaf,0,0,"billing.usp_facility_search"
billing.usp_facility_selectbyproperty,0,leaf,0,0,"billing.usp_facility_selectbyproperty"
billing.usp_facilitybyagency,0,leaf,0,0,"billing.usp_facilitybyagency"
billing.usp_facilityselect,0,leaf,0,0,"billing.usp_facilityselect"
billing.usp_facilityselectall,0,leaf,0,0,"billing.usp_facilityselectall"
billing.usp_facilityseqidbyagency,0,leaf,0,0,"billing.usp_facilityseqidbyagency"
billing.usp_getaccountprogramattributetypebyaccountuniqueseqid,0,leaf,0,0,"billing.usp_getaccountprogramattributetypebyaccountuniqueseqid"
billing.usp_getaccountsandmetersbyfacility,0,leaf,0,0,"billing.usp_getaccountsandmetersbyfacility"
billing.usp_getaccountsbyfacility,0,leaf,0,0,"billing.usp_getaccountsbyfacility"
billing.usp_getcurrentandmanualbillingperiods,0,leaf,0,0,"billing.usp_getcurrentandmanualbillingperiods"
billing.usp_getestimatedactualforaccountsextract,0,leaf,0,0,"billing.usp_getestimatedactualforaccountsextract"
billing.usp_getestimatedactualformetersextract,0,leaf,0,0,"billing.usp_getestimatedactualformetersextract"
billing.usp_getmaxoecfacilitynumberbyborough,0,leaf,0,0,"billing.usp_getmaxoecfacilitynumberbyborough"
billing.usp_getmonthlyexchangedata,0,leaf,0,0,"billing.usp_getmonthlyexchangedata"
billing.usp_insertnetmeteringattributefromefile,0,leaf,0,0,"billing.usp_insertnetmeteringattributefromefile"
billing.usp_load_estimatedactualcounts,0,leaf,0,0,"billing.usp_load_estimatedactualcounts"
billing.usp_meter_selectbyfacility,0,leaf,0,0,"billing.usp_meter_selectbyfacility"
billing.usp_meter_selectbyproperty,0,leaf,0,0,"billing.usp_meter_selectbyproperty"
billing.usp_meterallocationbyaccount,0,leaf,0,0,"billing.usp_meterallocationbyaccount"
