source_schema,target_schema,table_references,view_dependencies,procedure_references,function_references,type_references,table_type_references,total_references
Billing,Invoice,1,3,0,0,0,0,4
fms,Common,2,0,0,0,0,0,2
fms,dbo,0,0,2,0,0,0,2
fms,Invoice,4,8,0,0,0,0,12
fms,its,3,0,0,0,0,0,3
Invoice,Billing,45,25,0,28,0,0,98
Invoice,Common,11,0,0,0,0,0,11
Invoice,dbo,0,0,26,0,0,0,26
Invoice,fms,0,4,0,0,0,0,4
Report,Billing,0,3,0,13,0,0,16
Report,dbo,0,0,15,0,0,0,15
Report,Invoice,8,34,0,0,0,0,42
