Source,Target
batch.usp_startprocess,batch.usp_getprogress
billing.usp_addnewagency,billing.usp_addagencyfundinggroup
common.usp_coned_handleexchangedataissues,common.copyconedexchangedatatocommon
common.usp_processexchangedata,common.usp_processexchange_code28
common.usp_processexchangedata,common.usp_processexchange_codeax
common.usp_processexchangedata,common.usp_processexchange_code46
common.usp_processexchangedata,common.usp_processexchange_code27
common.usp_processexchangedata,common.usp_processexchange_codemisc
common.usp_processexchangedata,common.usp_processexchange_code45
common.usp_processexchangedata,common.usp_processexchange_code47
coned.archive_usp_processconedtransformmeterbillingdata,coned.archive_usp_parsespannedbilleduploadconedisonmeterinfo
coned.archive_usp_processconedtransformmeterbillingdata,coned.archive_usp_parsesplitbillingandmeterresetsuploadconedisonmeterinfo
coned.usp_upload_18_processexchange,coned.usp_upload_18_helper_processcommonelectronicgasunknownexchangecode
coned.usp_upload_19_uploaddatatoec3,coned.usp_upload_19_helper_fixserviceclassificationdiscrepancy
coned.usp_upload_19_uploaddatatoec3,coned.usp_upload_19_helper_uploadaccountdatatoec3
coned.usp_upload_19_uploaddatatoec3,coned.usp_upload_19_helper_uploadmeterdatatoec3
coned.usp_upload_2_transformrawdata,common.copyconedexchangedatatocommon
coned.usp_upload_2_transformrawdata,common.usp_processexchangedata
coned.usp_upload_2_transformrawdata,common.usp_coned_handleexchangedataissues
coned.usp_upload_2_transformrawdata,common.copyconedexchangedatauploadtocommon
crisnationalgridwest.usp_cris_spanparseandmergecancellationaccountbillingadjustmentrecords,crisnationalgridwest.usp_cris_preprocessparsingspannedaccountinfocancellation
crisnationalgridwest.usp_cris_validateaccounttransactions,crisnationalgridwest.usp_cris_correctpartialcancelattionfrompriorperiodmergedbill
crisnationalgridwest.usp_processexchangeinfo,crisnationalgridwest.usp_processexchangecode_27
crisnationalgridwest.usp_processexchangeinfo,crisnationalgridwest.usp_processexchangecode_misc
crisnationalgridwest.usp_processexchangeinfo,crisnationalgridwest.usp_processexchangecode_28
dbo.aspnet_membership_createuser,dbo.aspnet_applications_createapplication
dbo.aspnet_personalizationadministration_deleteallstate,dbo.aspnet_personalization_getapplicationid
dbo.aspnet_personalizationadministration_findstate,dbo.aspnet_personalization_getapplicationid
dbo.aspnet_personalizationadministration_getcountofstate,dbo.aspnet_personalization_getapplicationid
dbo.aspnet_personalizationadministration_resetsharedstate,dbo.aspnet_personalization_getapplicationid
dbo.aspnet_personalizationadministration_resetuserstate,dbo.aspnet_personalization_getapplicationid
dbo.aspnet_personalizationallusers_getpagesettings,dbo.aspnet_personalization_getapplicationid
dbo.aspnet_personalizationallusers_resetpagesettings,dbo.aspnet_personalization_getapplicationid
